qSpecies_string,resolved_to,rule,authority,note
Acer platanoides 'Not Green Leaf' - 'Not Green Leaf' Norway maple,Acer platanoides,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Quercus acutissima - sawtooth oak,,unmapped (accepted),ITIS TSN 195162,accepted taxon absent from the corpus; the build mints it
Gleditsia triacanthos var. inermis 'Skyline' - 'Skyline' Thornless honeylocust,Gleditsia triacanthos,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Pinus strobus - eastern white pine,Pinus strobus,R0 exact,-,already a corpus name
Ulmus pumila - Siberian elm,Ulmus pumila,R0 exact,-,already a corpus name
Prunus serrulata 'Not Green leaf' - 'Not Green leaf' Japanese flowering cherry,Prunus serrulata,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Quercus alba - white oak,Quercus alba,R0 exact,-,already a corpus name
Juniperus virginiana - eastern redcedar,,unmapped (accepted),ITIS TSN 18048,accepted taxon absent from the corpus; the build mints it
Acer campestre - hedge maple,Acer campestre,R0 exact,-,already a corpus name
Quercus - Oak,Quercus,R0 exact,-,already a corpus name
Carpinus caroliniana - American hornbeam,,unmapped (accepted),ITIS TSN 19504,accepted taxon absent from the corpus; the build mints it
Quercus coccinea - scarlet oak,Quercus coccinea,R0 exact,-,already a corpus name
Quercus imbricaria - shingle oak,,unmapped (accepted),ITIS TSN 19359,accepted taxon absent from the corpus; the build mints it
Ailanthus altissima - tree of heaven,Ailanthus altissima,R0 exact,-,already a corpus name
Ulmus americana 'Princeton' - 'Princeton' American elm,Ulmus americana,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Eucommia ulmoides - Hardy Rubber Tree,,unmapped (accepted),ITIS TSN 896364,accepted taxon absent from the corpus; the build mints it
Prunus serrulata 'Kwanzan' - 'Kwanzan' Flowering cherry,Prunus serrulata 'Kwanzan',R0 exact,-,already a corpus name
Taxodium distichum - bald cypress,,unmapped (accepted),ITIS TSN 18041,accepted taxon absent from the corpus; the build mints it
Acer pseudoplatanus - sycamore maple,Acer pseudoplatanus,R0 exact,-,already a corpus name
Amelanchier - serviceberry,,unmapped (accepted),ITIS TSN 25108,accepted taxon absent from the corpus; the build mints it
Quercus macrocarpa - bur oak,Quercus macrocarpa,R0 exact,-,already a corpus name
Cornus florida - flowering dogwood,Cornus florida,R0 exact,-,already a corpus name
Fraxinus americana - white ash,Fraxinus americana,R0 exact,-,already a corpus name
Tilia tomentosa 'Sterling' - 'Sterling' Silver linden,Tilia tomentosa,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Liriodendron tulipifera - tuliptree,Liriodendron tulipifera,R0 exact,-,already a corpus name
Tilia americana 'Redmond' - 'Redmond' American linden,Tilia americana 'Redmond',R0 exact,-,already a corpus name
Acer saccharum - sugar maple,Acer saccharum,R0 exact,-,already a corpus name
Quercus shumardii - Shumard's oak,Quercus shumardii,R0 exact,-,already a corpus name
Cladrastis kentukea - Kentucky yellowwood,,unmapped (accepted),ITIS TSN 26539,accepted taxon absent from the corpus; the build mints it
Fraxinus - Ash,Fraxinus,R0 exact,-,already a corpus name
Platanus x acerifolia 'Bloodgood' - 'Bloodgood' London planetree,Platanus acerifolia 'Bloodgood',R1 hybrid sign,"ICN (Shenzhen Code) Art. H.3A.1, Art. 23.1","the multiplication sign is notation, not part of the epithet"
Betula nigra - river birch,Betula nigra,R0 exact,-,already a corpus name
Quercus robur - English oak,Quercus robur,R0 exact,-,already a corpus name
Pinus - pine,Pinus,R0 exact,-,already a corpus name
Quercus ellipsoidalis - northern pin oak,,unmapped (accepted),ITIS TSN 19327,accepted taxon absent from the corpus; the build mints it
Quercus velutina - black oak,,unmapped (accepted),ITIS TSN 19447,accepted taxon absent from the corpus; the build mints it
Acer ginnala - Amur maple,Acer ginnala,R0 exact,-,already a corpus name
Gymnocladus dioicus 'Espresso' - 'Espresso' Kentucky coffee tree,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Platanus x acerfolia 'Exclamation' - 'Exclamation' London planetree,Platanus acerifolia,R4 spelling correction,this dataset's own spelling frequency,"edit-distance-1 of 'Platanus x acerifolia', which occurs 97,449 times in the same 2026-08-14 extract against this spelling's 1,715"
Ostrya virginiana - hophornbeam,,unmapped (accepted),ITIS TSN 19511,accepted taxon absent from the corpus; the build mints it
Syringa reticulata 'Ivory Silk' - 'Ivory Silk' Japanese tree lilac,Syringa reticulata,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Betula nigra 'Heritage' - 'Heritage' River birch,Betula nigra,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Acer palmatum - Japanese maple,Acer palmatum,R0 exact,-,already a corpus name
Platanus occidentalis - American sycamore,Platanus occidentalis,R0 exact,-,already a corpus name
Tilia cordata 'Greenspire' - 'Greenspire' Littleleaf linden,Tilia cordata 'Greenspire',R0 exact,-,already a corpus name
Cornus mas - Cornelian cherry,,unmapped (accepted),ITIS TSN 565094,accepted taxon absent from the corpus; the build mints it
Tilia x. europaea - Common linden,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Populus deltoides - eastern cottonwood,Populus deltoides,R0 exact,-,already a corpus name
Prunus x yedoensis - Yoshino cherry,Prunus x yedoensis,R0 exact,-,already a corpus name
Magnolia - magnolia,Magnolia,R0 exact,-,already a corpus name
Pinus resinosa - red pine,,unmapped (accepted),ITIS TSN 183375,accepted taxon absent from the corpus; the build mints it
Aesculus hippocastanum - horse chestnut,Aesculus hippocastanum,R0 exact,-,already a corpus name
Cornus kousa - kousa dogwood,,unmapped (accepted),ITIS TSN 507498,accepted taxon absent from the corpus; the build mints it
Nyssa sylvatica - blackgum,Nyssa sylvatica,R0 exact,-,already a corpus name
Thuja occidentalis - arborvitae,,unmapped (accepted),ITIS TSN 505490,accepted taxon absent from the corpus; the build mints it
Zelkova serrata 'Village Green' - 'Village Green' Zelkova,Zelkova serrata 'Village Green',R0 exact,-,already a corpus name
Quercus muehlenbergii - chinkapin oak,,unmapped (accepted),ITIS TSN 504714,accepted taxon absent from the corpus; the build mints it
Liquidambar styraciflua 'Moraine' - 'Moraine' Sweetgum,Liquidambar styraciflua,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Prunus serrulata - Japanese flowering cherry,Prunus serrulata,R0 exact,-,already a corpus name
Gleditsia triacanthos - Honeylocust,Gleditsia triacanthos,R0 exact,-,already a corpus name
Acer x freemanii 'Autumn Blaze' - 'Autumn Blaze' Freeman maple,Acer x freemanii 'Autumn Blaze',R0 exact,-,already a corpus name
Cercidiphyllum japonicum - katsura tree,Cercidiphyllum japonicum,R0 exact,-,already a corpus name
Lagerstroemia - lagerstroemia,,unmapped (accepted),ITIS TSN 27109,accepted taxon absent from the corpus; the build mints it
Acer rubrum 'Redpointe' - 'Redpointe' Red maple,Acer rubrum,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Fagus grandifolia - American beech,,unmapped (accepted),ITIS TSN 19462,accepted taxon absent from the corpus; the build mints it
Prunus subhirtella 'Autumnalis' - 'Autumnalis' Higan cherry,Prunus subhirtella 'autumnalis',R0 exact,-,already a corpus name
Acer rubrum 'October Glory' - 'October Glory' Red maple,Acer rubrum 'October Glory',R0 exact,-,already a corpus name
Amelanchier 'Autumn Brilliance' - 'Autumn Brilliance' Serviceberry,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Parrotia persica - Persian ironwood,Parrotia persica,R0 exact,-,already a corpus name
Zelkova serrata 'Mushashino' - 'Mushashino' Zelkova,Zelkova serrata,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Acer rubrum 'Red Sunset' - 'Red Sunset' Red maple,Acer rubrum,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Ilex - holly,Ilex,R0 exact,-,already a corpus name
Carpinus betulus 'Fastigiata' - 'Fastigiata' European hornbeam,Carpinus betulus 'Fastigiata',R0 exact,-,already a corpus name
Ginkgo biloba 'Magyar' - 'Magyar' Ginkgo,Ginkgo biloba,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Styphnolobium japonicum 'Millstone' - 'Millstone' Japanese pagodatree,Styphnolobium japonicum,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Platanus x acerifolia 'Columbia' - 'Columbia' London planetree,Platanus x acerifolia 'Columbia',R0 exact,-,already a corpus name
Tilia americana 'Boulevard' - 'Boulevard' American linden,Tilia americana,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Catalpa - catalpa,,unmapped (accepted),ITIS TSN 34312,accepted taxon absent from the corpus; the build mints it
Syringa pekinensis 'Summer Charm' - 'Summer Charm' Peking lilac,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Acer griseum - paperbark maple,,unmapped (accepted),ITIS TSN 837860,accepted taxon absent from the corpus; the build mints it
Tilia mongolica 'Harvest Gold' - 'Harvest Gold' Mongolian linden,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Syringa pekinensis - Peking tree lilac,,unmapped (accepted),ITIS TSN 565840,accepted taxon absent from the corpus; the build mints it
Taxodium distichum 'Shawnee Brave' - 'Shawnee Brave' Bald cypress,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Picea - spruce,Picea,R0 exact,-,already a corpus name
Acer negundo - boxelder,Acer negundo,R0 exact,-,already a corpus name
Tilia americana 'McSentry' - 'McSentry' American linden,Tilia americana,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Gleditsia triacanthos var. inermis 'Imperial' - 'Imperial' Thornless honeylocust,Gleditsia triacanthos,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Crataegus crus-galli var. inermis - Cockspur hawthorn,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Prunus 'Snow Goose' - 'Snow Goose' Cherry,Prunus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Ulmus 'Frontier' - 'Frontier' Elm,Ulmus 'Frontier',R0 exact,-,already a corpus name
Acer miyabei 'State Street' -  'State Street' Miyabe maple,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Sassafras albidum - sassafras,,unmapped (accepted),ITIS TSN 18158,accepted taxon absent from the corpus; the build mints it
Chamaecyparis thyoides - Atlantic white cedar,,unmapped (accepted),ITIS TSN 18046,accepted taxon absent from the corpus; the build mints it
Acer x freemanii - Freeman maple,Acer x freemanii,R0 exact,-,already a corpus name
Zelkova serrata 'Wireless' - 'Wireless' Zelkova,Zelkova serrata,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Amelanchier canadensis - Canadian serviceberry,,unmapped (accepted),ITIS TSN 25112,accepted taxon absent from the corpus; the build mints it
Prunus x yedoensis 'Akebono' - 'Akebono' Yoshino cherry,Prunus x yedoensis 'Akebono',R0 exact,-,already a corpus name
Zelkova serrata 'City Sprite' - 'City Sprite' Zelkova,Zelkova serrata,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Chionanthus retusus - Chinese fringetree,Chionanthus retusus,R0 exact,-,already a corpus name
Prunus virginiana 'Canada Red' - 'Canada Red' Chokecherry,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Acer platanoides 'Crimson King' - 'Crimson King' Norway maple,Acer platanoides 'Crimson King',R0 exact,-,already a corpus name
Fagus sylvatica - European beech,Fagus sylvatica,R0 exact,-,already a corpus name
Carpinus betulus 'Emerald Avenue' - 'Emerald Avenue' European hornbeam,Carpinus betulus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Juglans nigra - black walnut,Juglans nigra,R0 exact,-,already a corpus name
Picea abies - Norway spruce,,unmapped (accepted),ITIS TSN 183289,accepted taxon absent from the corpus; the build mints it
Ginkgo biloba 'Autumn Gold' - 'Autumn Gold' Ginkgo,Ginkgo biloba 'Autumn Gold',R0 exact,-,already a corpus name
Juniperus chinensis - Chinese juniper,Juniperus chinensis,R0 exact,-,already a corpus name
Catalpa speciosa - northern catalpa,Catalpa speciosa,R0 exact,-,already a corpus name
Malus 'Royal Raindrops' - 'Royal Raindrops' Crabapple,Malus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Malus 'Spring Snow' - 'Spring Snow' Crabapple,Malus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Prunus virginiana - chokecherry,,unmapped (accepted),ITIS TSN 24806,accepted taxon absent from the corpus; the build mints it
Styrax japonicus - Japanese snowbell,Styrax japonicus,R0 exact,-,already a corpus name
Amelanchier laevis - Allegheny serviceberry,,unmapped (accepted),ITIS TSN 182046,accepted taxon absent from the corpus; the build mints it
Prunus sargentii - Sargent cherry,Prunus sargentii,R0 exact,-,already a corpus name
Ulmus parvifolia 'Allee' - 'Allee' Chinese elm,Ulmus parvifolia,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Ulmus 'Patriot' - 'Patriot' Elm,Ulmus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Betula papyrifera - paper birch,Betula papyrifera,R0 exact,-,already a corpus name
Corylus colurna - Turkish hazelnut,Corylus colurna,R0 exact,-,already a corpus name
Picea pungens - blue spruce,Picea pungens,R0 exact,-,already a corpus name
Gleditsia triacanthos var. inermis 'Streetkeeper' - 'Streetkeeper' Thornless honeylocust,Gleditsia triacanthos,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Carya glabra - pignut hickory,,unmapped (accepted),ITIS TSN 19231,accepted taxon absent from the corpus; the build mints it
Quercus x macdanielii 'Clemons' - Heritage Oak,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Styphnolobium japonicum 'Regent' - 'Regent' Japanese pagodatree,Styphnolobium japonicum,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Ulmus 'Homestead' - 'Homestead' Elm,Ulmus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Prunus 'Mt Fuji' - 'Mt Fuji' Cherry,Prunus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Cedrus atlantica - Atlas cedar,Cedrus atlantica,R0 exact,-,already a corpus name
Phellodendron amurense - Amur corktree,,unmapped (accepted),ITIS TSN 504297,accepted taxon absent from the corpus; the build mints it
Tilia x. euchlora - Caucasian linden,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Salix babylonica - Weeping willow,Salix babylonica,R0 exact,-,already a corpus name
Prunus 'Okame' - 'Okame' Cherry,Prunus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Fraxinus profunda - Pumpkin ash,,unmapped (accepted),ITIS TSN 32934,accepted taxon absent from the corpus; the build mints it
Ilex opaca - American holly,Ilex opaca,R0 exact,-,already a corpus name
Acer rubrum 'Frank Jr.' -  'Frank Jr.' red maple,Acer rubrum,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Ulmus 'Triumph' - 'Triumph' Elm,Ulmus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Acer ginnala 'Flame' - 'Flame' Amur maple,Acer ginnala,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Malus floribunda - Japanese flowering crabapple,Malus floribunda,R0 exact,-,already a corpus name
Taxus baccata - English yew,Taxus baccata,R0 exact,-,already a corpus name
Quercus lyrata - overcup oak,,unmapped (accepted),ITIS TSN 19278,accepted taxon absent from the corpus; the build mints it
Parrotia persica 'Ruby Vase' - 'Ruby Vase' Persian ironwood,Parrotia persica,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Cryptomeria japonica - Japanese cedar,Cryptomeria japonica,R0 exact,-,already a corpus name
Prunus padus 'Merlot' - 'Merlot' European bird cherry,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Styrax japonicus 'Snowcone' - 'Snowcone' Japanese snowbell,Styrax japonicus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Crataegus viridis 'Winter King' - 'Winter King' Green hawthorn,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Ulmus propinqua 'Emerald Sunshine' - 'Emerald Sunshine' Elm,Ulmus propinqua 'Emerald Sunshine',R0 exact,-,already a corpus name
Acer tataricum 'Hot Wings' - 'Hot Wings' Tatarian maple,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Carya cordiformis - bitternut hickory,,unmapped (accepted),ITIS TSN 19227,accepted taxon absent from the corpus; the build mints it
Aesculus x carnea - red horse-chestnut,Aesculus x carnea,R0 exact,-,already a corpus name
Pseudotsuga menziesii - Douglas-fir,Pseudotsuga menziesii,R0 exact,-,already a corpus name
Pinus nigra - Austrian pine,,unmapped (accepted),ITIS TSN 183364,accepted taxon absent from the corpus; the build mints it
Syringa pekinensis 'Bejing Gold' - 'Bejing Gold' Peking lilac,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Nyssa sylvatica 'Wildfire' - 'Wildfire' Black gum,Nyssa sylvatica,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Malus 'Velvet Pillar' - 'Velvet Pillar' flowering crabapple,Malus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Malus 'Sugartyme' - 'Sugartyme' Crabapple,Malus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Tsuga canadensis - eastern hemlock,,unmapped (accepted),ITIS TSN 183397,accepted taxon absent from the corpus; the build mints it
Paulownia tomentosa - princesstree,Paulownia tomentosa,R0 exact,-,already a corpus name
Acer truncatum - Shantung maple,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Lagerstroemia indica - Crape Myrtle,Lagerstroemia indica,R0 exact,-,already a corpus name
Hamamelis virginiana - American witchhazel,,unmapped (accepted),ITIS TSN 19033,accepted taxon absent from the corpus; the build mints it
Acer buergerianum - trident maple,Acer buergerianum,R0 exact,-,already a corpus name
Populus - Poplar,Populus,R0 exact,-,already a corpus name
Malus 'Red Jewel' - 'Red Jewel' Crabapple,Malus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Carpinus japonica - Japanese hornbeam,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Gleditsia triacanthos var. inermis 'Halka' - 'Halka' Thornless honeylocust,Gleditsia triacanthos,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Tilia x flavescens 'Glenleven' - Glenleven Linden,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Populus tremuloides - quaking aspen,Populus tremuloides,R0 exact,-,already a corpus name
Salix spp. - Willow,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Acer rubrum 'Brandywine' - 'Brandywine' Red maple,Acer rubrum,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Quercus 'Regal Prince' - 'Regal Prince' Oak,Quercus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Cornus alternifolia - alternateleaf dogwood,,unmapped (accepted),ITIS TSN 27813,accepted taxon absent from the corpus; the build mints it
Koelreuteria paniculata 'Gold Candle' - 'Gold Candle' Goldenraintree,Koelreuteria paniculata,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Magnolia grandiflora - southern magnolia,Magnolia grandiflora,R0 exact,-,already a corpus name
Betula pendula - European white birch,Betula pendula,R0 exact,-,already a corpus name
Acer truncatum 'Urban Sunset' - 'Urban Sunset' Shantung maple,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Halesia carolina - Carolina silverbell,,unmapped (accepted),ITIS TSN 23864,accepted taxon absent from the corpus; the build mints it
Cercis reniformis - Oklahoma redbud,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Styrax japonicus 'Emerald Pagoda' - 'Emerald Pagoda' Japanese snowbell,Styrax japonicus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Amelanchier arborea - common serviceberry,,unmapped (accepted),ITIS TSN 25110,accepted taxon absent from the corpus; the build mints it
Juniperus chinensis 'Hetzii' - 'Hetzii' Chinese juniper,Juniperus chinensis,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Metasequoia glyptostroboides 'Gold Rush' - 'Gold Rush' Dawn redwood,Metasequoia glyptostroboides,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Malus hupehensis - Chinese crabapple,,unmapped (accepted),ITIS TSN 836454,accepted taxon absent from the corpus; the build mints it
Taxodium ascendens - pond cypress,,unmapped (synonym),ITIS TSN 183433,Taxodium distichum var. imbricarium
